Date,Month,Description,Amount,Category,Type
2025-06-24,2025-06,"GOOGLE *Google One 650-253-0000, CA 650.00 INR @ .016338",10.62,Other,Credit
2025-06-24,2025-06,"YOUR DOLLAR STORE WITH TORONTO, ON",24.01,Other,Credit
2025-06-23,2025-06,"TIM HORTONS #1910 SCARBOROUGH, ON",13.61,Dining Out,Credit
2025-06-23,2025-06,"TIM HORTONS #1910 SCARBOROUGH, ON",3.22,Dining Out,Credit
2025-06-23,2025-06,"COSTCO WHOLESALE W1316 EAST YORK, ON",96.27,Other,Credit
2025-06-23,2025-06,"TIM HORTONS #6591 TORONTO, ON",3.45,Dining Out,Credit
2025-06-23,2025-06,"PRESTO FARE/5H8B5G9Z89 Toronto, ON",3.3,Public Transporation,Credit
2025-06-23,2025-06,"PRESTO FARE/5H86DHGBVQ Toronto, ON",6.6,Public Transporation,Credit
2025-06-20,2025-06,"TIM HORTONS #5363 TORONTO, ON",3.14,Dining Out,Credit
2025-06-20,2025-06,"PRESTO FARE/5H81FL92DB Toronto, ON",9.9,Public Transporation,Credit
2025-06-18,2025-06,"PRESTO FARE/5H7H57LQX8 Toronto, ON",3.3,Public Transporation,Credit
2025-06-16,2025-06,"DOLLARAMA # 447 SCARBOROUGH, ON",9.04,Other,Credit
2025-06-16,2025-06,"ROGERS ******5736 888-764-3771, ON",28.25,Other,Credit
2025-06-16,2025-06,"COSTCO WHOLESALE W1316 EAST YORK, ON",84.43,Other,Credit
2025-06-16,2025-06,"SHIVA?S COFFEE BAR & S SCARBOROUGH, ON",13.54,Other,Credit
2025-06-16,2025-06,"PAYBRIGHT TORONTO, ON",21.34,Other,Credit
2025-06-16,2025-06,"FAMOUS INDIAN SUPERMAR Toronto, ON",52.06,Other,Credit
2025-06-16,2025-06,"PRESTO FARE/5H7047X89Z Toronto, ON",3.3,Public Transporation,Credit
2025-06-16,2025-06,"PRESTO FARE/5H71N7DM27 Toronto, ON",6.6,Public Transporation,Credit
2025-06-13,2025-06,"NBX*COUNCIL FOR CANADA NORTH YORK, ON",41.0,Other,Credit
2025-06-13,2025-06,"SP HANJI GIFTS TORONTO, ON",5.59,Other,Credit
2025-06-13,2025-06,"PRESTO FARE/5H6J4JFHXQ Toronto, ON",6.6,Public Transporation,Credit
2025-06-06,2025-06,"PRESTO FARE/5H52KD2ZXB Toronto, ON",6.6,Public Transporation,Credit
2025-06-23,2025-06,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE Klarna*SHEIN 517401184676,-29.55,Other,Debit
2025-06-20,2025-06,Point of Sale - Interac RETAIL PURCHASE A9XFMBDZ0000 LS RS BROTHERS,-53.06,Other,Debit
2025-06-19,2025-06,Electronic Funds Transfer PREAUTHORIZED DEBIT IND ALL LIFE IN,-500.0,Other Fees,Debit
2025-06-16,2025-06,Electronic Funds Transfer PREAUTHORIZED DEBIT IND ALL SAVING,-363.6,Other Fees,Debit
2025-06-16,2025-06,Point of Sale - Interac RETAIL PURCHASE 516518237224 SHIVA?S COFFEE,-3.38,Other,Debit
2025-06-12,2025-06,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE Questrade 516320863166,-10.0,Other,Debit
2025-06-10,2025-06,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE Klarna*SHEIN CA 516084358345,-29.55,Other,Debit
2025-06-09,2025-06,Electronic Funds Transfer PREAUTHORIZED DEBIT TORONTO HYDRO,-81.69,Other Fees,Debit
2025-06-09,2025-06,Point of Sale - Interac RETAIL PURCHASE 515800583144 CHAATTER BOX,-16.09,Other,Debit
2025-06-09,2025-06,Point of Sale - Interac RETAIL PURCHASE 275251759432 SQ *SHAYONA CHA,-41.36,Other,Debit
2025-06-09,2025-06,Internet Banking E-TRANSFER 105488284062 Devang Panipuri,-15.0,Phone,Debit
2025-06-05,2025-06,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE Questrade 515616746281,-403.51,Other,Debit
2025-06-03,2025-06,Electronic Funds Transfer PREAUTHORIZED DEBIT IND ALL LIFE IN,-200.0,Other Fees,Debit
2025-06-02,2025-06,Electronic Funds Transfer PREAUTHORIZED DEBIT IND ALL SAVING,-363.6,Other Fees,Debit
2025-06-02,2025-06,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE KLARNA* SHEIN 515221844094,-0.29,Other,Debit
